============================================================
  Method: imgep
  Target: 1EVE
  Seed: 0
  Iterations: 500
  Output: paper/experiments/results_v3/1EVE/imgep_seed0
============================================================
Target: 1EVE (AChE, Hydrolase)
Pocket residues: 76
Behavior dim: 229
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=9 res=9 vina=-10.3 t=11s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-8.7 t=25s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=5 res=5 vina=-7.3 t=38s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=3 res=3 vina=-6.7 t=50s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.9 t=61s
  [25/500] CC(=O)Oc1ccc(CC(C)C)cc1... int=5 res=5 vina=-8.0 t=299s
  [50/500] CC(C)(O)c1ccc(F)cc1... int=4 res=4 vina=-7.2 t=613s
  [75/500] CCOC(=O)c1cc(O)c(O)cc1O... int=5 res=5 vina=-7.4 t=924s
  [100/500] CCOC(=O)C(C)c1ccc(C(C)=O)cc1... int=3 res=3 vina=-8.3 t=1242s
  [125/500] CC(=O)Oc1cc(C(=O)O)cc(C(=O)O)c1OC(C)=O... int=4 res=4 vina=-8.5 t=1575s
  [150/500] COc1ccc(C(C)N)cc1... int=3 res=3 vina=-6.6 t=1901s
  [175/500] COC(=O)c1ccc(F)cc1OC(C)=O... int=6 res=6 vina=-7.0 t=2253s
  [200/500] CC(=O)Nc1ccc(C(C)N)cc1... int=3 res=3 vina=-7.5 t=2591s
  [225/500] CC(=O)c1ccc(C(C)C(=O)O)cc1... int=3 res=3 vina=-8.1 t=2918s
  [250/500] Oc1ccc2nc(O)c(Cl)cc2c1... int=2 res=2 vina=-7.9 t=3256s
  [275/500] CC(=O)Nc1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)... int=10 res=10 vina=-10.1 t=3600s
  [300/500] CC(=O)Oc1ccc(C=Cc2ccccc2)cc1... int=7 res=7 vina=-9.6 t=3941s
  [325/500] CCOC(=O)c1cc(Cl)c(OC)cc1O... int=4 res=4 vina=-6.6 t=4274s
  [350/500] CCOC(=O)c1cc(OC(C)=O)c(OC)cc1O... int=5 res=5 vina=-7.2 t=4643s
  [375/500] CCCC(=O)Oc1ccc(N)cc1C(=O)O... int=6 res=6 vina=-8.1 t=4992s
  [400/500] COc1cc(C(C)O)ccc1O... int=3 res=3 vina=-7.0 t=5338s
  [425/500] CCOC(=O)c1ccc(CCC(=O)O)cc1... int=4 res=4 vina=-7.9 t=5690s
  [450/500] N=C(N)NCCCC(N)C(=O)O... int=0 res=0 vina=-6.1 t=6048s
  [475/500] CCCC(=O)Oc1cc(Cl)ccc1C(=O)O... int=6 res=6 vina=-7.9 t=6390s
  [500/500] COC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1... int=4 res=4 vina=-9.0 t=6731s

Results → paper/experiments/results_v3/1EVE/imgep_seed0/results.json
Total: 6731s (13.5s/iter)
