============================================================
  Method: random
  Target: 1EVE
  Seed: 0
  Iterations: 500
  Output: paper/experiments/results_v3/1EVE/random_seed0
============================================================
Target: 1EVE (AChE, Hydrolase)
Pocket residues: 76
Behavior dim: 229
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=9 res=9 vina=-10.3 t=11s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-8.7 t=21s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=5 res=5 vina=-7.3 t=31s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=3 res=3 vina=-6.7 t=41s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.9 t=50s
  [25/500] COc1cc(C=O)ccc1O... int=4 res=4 vina=-6.3 t=244s
  [50/500] CC(C)C(N)C(=O)O... int=0 res=0 vina=-5.2 t=513s
  [75/500] CC(N)c1ccc(C(=O)O)cc1... int=4 res=4 vina=-7.4 t=787s
  [100/500] COc1cc(Cl)ccc1C(=O)O... int=4 res=4 vina=-6.8 t=1069s
  [125/500] COc1ccc2cc(Cl)c(O)nc2c1... int=4 res=4 vina=-7.8 t=1370s
  [150/500] O=C(O)c1cccc(F)c1... int=2 res=2 vina=-6.7 t=1671s
  [175/500] CC(=O)Oc1cc(C(=O)CCl)ccc1C(=O)O... int=6 res=6 vina=-7.9 t=1985s
  [200/500] CCOC(=O)c1cc(Cl)c(Cl)cc1OC... int=3 res=3 vina=-7.1 t=2307s
  [225/500] O=Cc1ccc(O)c(O)c1... int=4 res=4 vina=-6.5 t=2611s
  [250/500] CCOC(=O)c1ccc(C(N)=O)cc1OC(C)=O... int=7 res=7 vina=-8.1 t=2953s
  [275/500] CCCC(=O)Oc1cc(C(=O)CCl)ccc1C(=O)O... int=8 res=8 vina=-8.2 t=3277s
  [300/500] CC(N)Cc1cccc(F)c1... int=5 res=4 vina=-7.1 t=3603s
  [325/500] O=C(O)c1cccc(C=Cc2ccc(I)cc2)c1... int=3 res=3 vina=-9.6 t=3917s
  [350/500] COc1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O... int=10 res=10 vina=-10.5 t=4251s
  [375/500] CCCC(=O)Oc1ccc(C=O)cc1C(=O)O... int=5 res=5 vina=-8.1 t=4577s
  [400/500] CCOC(=O)c1cccc(F)c1... int=4 res=4 vina=-6.7 t=4899s
  [425/500] COC(=O)c1cc(Cl)cc(Cl)c1... int=0 res=0 vina=-6.6 t=5222s
  [450/500] O=C(O)c1cc(-c2ccc(Br)cc2)ccc1O... int=6 res=6 vina=-9.5 t=5539s
  [475/500] CC(=O)Nc1ccc(OC(C)=O)cc1... int=6 res=5 vina=-7.2 t=5865s
  [500/500] CCOC(=O)c1cc(C(=O)O)ccc1N... int=4 res=3 vina=-7.8 t=6183s

Results → paper/experiments/results_v3/1EVE/random_seed0/results.json
Total: 6183s (12.4s/iter)
