============================================================
  Method: bo
  Target: 3EML
  Seed: 0
  Iterations: 500
  Output: paper/experiments/results_v3/3EML/bo_seed0
============================================================
Target: 3EML (EGFR, Kinase)
Pocket residues: 65
Behavior dim: 196
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-8.5 t=13s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=28s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=8 res=8 vina=-6.3 t=42s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=5 res=5 vina=-6.1 t=53s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-5.9 t=65s
  [25/500] N=C(N)NCCCC(N)C(=O)O... int=0 res=0 vina=-5.5 t=359s
  [50/500] COc1cc(Cl)cc(OC(C)=O)c1OC... int=4 res=4 vina=-5.8 t=703s
  [75/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=1060s
  [100/500] COc1cc(O)cc(OC)c1OC... int=2 res=2 vina=-5.4 t=1410s
  [125/500] COc1cc(Cl)cc(OC(C)=O)c1OC... int=4 res=4 vina=-5.8 t=1786s
  [150/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=2170s
  [175/500] COc1cc(CCN)cc(OC)c1OC... int=4 res=4 vina=-6.1 t=2546s
  [200/500] COc1cc(O)cc(OC)c1OC... int=2 res=2 vina=-5.4 t=2936s
  [225/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=3314s
  [250/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=3701s
  [275/500] COc1cc(C(=O)O)cc(OC)c1OC... int=3 res=3 vina=-5.4 t=4097s
  [300/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=4480s
  [325/500] COc1cc(CCN)cc(OC)c1OC... int=4 res=4 vina=-6.1 t=4866s
  [350/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=5262s
  [375/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=5667s
  [400/500] COc1cc(Cl)cc(OC(C)=O)c1OC... int=4 res=4 vina=-5.8 t=6076s
  [425/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=6477s
  [450/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=6 vina=-7.7 t=6895s
  [475/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=7309s
  [500/500] COc1cc(O)cc(OC)c1OC... int=2 res=2 vina=-5.4 t=7729s

Results → paper/experiments/results_v3/3EML/bo_seed0/results.json
Total: 7729s (15.5s/iter)
