============================================================
  Method: bo
  Target: 3PJC
  Seed: 3
  Iterations: 500
  Output: paper/experiments/results_v3/3PJC/bo_seed3
============================================================
Target: 3PJC (CDK2, Kinase)
Pocket residues: 60
Behavior dim: 181
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-8.6 t=16s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=8 res=8 vina=-7.7 t=34s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=7 res=7 vina=-6.7 t=51s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=9 res=9 vina=-6.2 t=68s
  [5/500] OC(=O)c1ccccc1O... int=6 res=6 vina=-6.1 t=83s
  [25/500] CCOC(=O)c1c(O)cc(C(=O)O)cc1OC(C)=O... int=6 res=6 vina=-7.6 t=438s
  [50/500] CC(C)Cc1ccc(Cl)cc1... int=3 res=3 vina=-6.2 t=895s
  [75/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=1293s
  [100/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=1667s
  [125/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=2063s
  [150/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=2451s
  [175/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=2865s
  [200/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=3260s
  [225/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=3673s
  [250/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=4084s
  [275/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=4509s
  [300/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=4925s
  [325/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=5379s
  [350/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=5835s
  [375/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=6301s
  [400/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=6748s
  [425/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=7211s
  [450/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=7707s
  [475/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=8222s
  [500/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=0 res=0 vina=-5.9 t=8735s

Results → paper/experiments/results_v3/3PJC/bo_seed3/results.json
Total: 8735s (17.5s/iter)
