============================================================
  Method: imgep_naive
  Target: 3PJC
  Seed: 1
  Iterations: 500
  Output: paper/experiments/results_v3/3PJC/imgep_naive_seed1
============================================================
Target: 3PJC (CDK2, Kinase)
Pocket residues: 60
Behavior dim: 181
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-8.6 t=13s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=8 res=8 vina=-7.7 t=25s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=7 res=7 vina=-6.7 t=34s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=9 res=9 vina=-6.2 t=45s
  [5/500] OC(=O)c1ccccc1O... int=6 res=6 vina=-6.1 t=57s
  [25/500] CC(C(=O)O)c1ccc(CCN)cc1... int=7 res=6 vina=-7.2 t=325s
  [50/500] O=C(O)CCc1ccc(CO)cc1... int=9 res=8 vina=-7.0 t=665s
  [75/500] NS(=O)(=O)c1ccc(C=NO)cc1... int=6 res=6 vina=-6.8 t=1097s
  [100/500] CC(=O)CCC(=O)NCCN1CCOCC1... int=3 res=3 vina=-6.1 t=1517s
  [125/500] CCOC(=O)C(N)Cc1ccc(C(C)N)cc1... int=7 res=6 vina=-7.5 t=1959s
  [150/500] CC(C)Cc1ccc(C(C)N)cc1... int=7 res=6 vina=-7.2 t=2417s
  [175/500] CCOC(=O)C(C)c1ccc(-c2cccc(C(C)O)c2)cc1... int=11 res=10 vina=-8.8 t=2884s
  [200/500] O=C(O)C=Cc1cccc(C=Cc2ccc(CCC(=O)O)cc2)c1... int=9 res=9 vina=-9.0 t=3340s
  [225/500] O=C(O)C=Cc1cc(O)cc(C=Cc2ccc(C(=O)NCC(=O)... int=11 res=11 vina=-9.6 t=3807s
  [250/500] NC(Cc1ccc(C=Cc2cccc(C(=O)O)c2)cc1)C(=O)O... int=9 res=9 vina=-9.7 t=4272s
  [275/500] CC1=NC(c2ccc(C=Cc3cc(O)cc(C=CC(=O)O)c3)c... int=9 res=9 vina=-9.6 t=4738s
  [300/500] CC(=O)Nc1ccc(C(C)C(=O)O)cc1... int=7 res=7 vina=-7.5 t=5190s
  [325/500] O=C(O)C=Cc1cccc(C=Cc2ccc(C(=O)O)cc2)c1... int=9 res=9 vina=-9.2 t=5659s
  [350/500] CCOC(=O)C(N)Cc1ccc(C=Cc2cccc(C=CC(=O)O)c... int=14 res=13 vina=-9.2 t=6146s
  [375/500] CC(=O)N1CCN(c2ccc(C=Cc3cccc(C=CC(=O)O)c3... int=8 res=7 vina=-9.9 t=6631s
  [400/500] COc1ccc(CNC(=O)CCC(C)=O)cc1OC... int=8 res=8 vina=-7.0 t=7105s
  [425/500] NC(Cc1ccc(C=Cc2cc(Cl)cc(C=CC(=O)O)c2)cc1... int=11 res=11 vina=-9.3 t=7588s
  [450/500] COc1cc(C=Cc2ccc(N3CCOCC3)cc2)cc(CC(C)N)c... int=8 res=7 vina=-8.5 t=8065s
  [475/500] COc1cc(N)cc(C=Cc2ccc(CC(N)C(=O)O)cc2)c1... int=7 res=7 vina=-9.2 t=8543s
  [500/500] NC(Cc1ccc(C=Cc2cc(O)cc(C=CC(=O)O)c2)cc1)... int=9 res=8 vina=-9.4 t=9075s

Results → paper/experiments/results_v3/3PJC/imgep_naive_seed1/results.json
Total: 9075s (18.2s/iter)
