============================================================
  Method: random
  Target: 3V8D
  Seed: 2
  Iterations: 500
  Output: paper/experiments/results_v3/3V8D/random_seed2
============================================================
Target: 3V8D (Thrombin, Serine protease)
Pocket residues: 95
Behavior dim: 286
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=10 res=9 vina=-9.1 t=22s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=5 res=5 vina=-6.8 t=42s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=8 res=6 vina=-6.8 t=57s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=7 res=5 vina=-6.1 t=72s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-6.0 t=88s
  [25/500] NC(CC(=O)O)C(=O)O... int=0 res=0 vina=-5.0 t=419s
  [50/500] O=C(O)c1ccccc1O... int=4 res=4 vina=-6.0 t=871s
  [75/500] CC1(C)SC2C(NC(=O)Cc3ccc(NC=O)cc3)C(=O)N2... int=7 res=7 vina=-8.9 t=1338s
  [100/500] CC1(C)SC2C(NC(=O)Cc3ccc(Br)cc3)C(=O)N2C1... int=8 res=8 vina=-8.5 t=1802s
  [125/500] NC(CCC(=O)O)C(=O)O... int=0 res=0 vina=-5.3 t=2233s
  [150/500] O=C(O)c1cccc(Cl)c1... int=4 res=4 vina=-5.7 t=2658s
  [175/500] CSCC(N)C(=O)O... int=2 res=2 vina=-4.3 t=3132s
  [200/500] NC(=O)c1cccc(Cl)c1... int=5 res=5 vina=-5.6 t=3608s
  [225/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccc(O)c(C(=O... int=9 res=8 vina=-8.7 t=4039s
  [250/500] CCOC(=O)c1ccccc1OC(C)=O... int=7 res=7 vina=-6.4 t=4549s
  [275/500] CC(C)(O)c1ccc(Cl)cc1... int=3 res=3 vina=-5.7 t=4992s
  [300/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccc(C(=N)N)c... int=6 res=6 vina=-8.7 t=5450s
  [325/500] CC(N)c1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3C... int=7 res=6 vina=-9.0 t=5885s
  [350/500] CC(=O)c1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C... int=6 res=6 vina=-9.0 t=6351s
  [375/500] CC(C)C(NC(=O)Cc1cc(O)cc(F)c1)C(=O)NC1C(=... int=5 res=5 vina=-9.5 t=6783s
  [400/500] CC(C)(O)c1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)... int=8 res=8 vina=-9.1 t=7240s
  [425/500] CC(C)C(NC(=O)Cc1ccccc1)C(=O)NC1C(=O)N2C1... int=4 res=4 vina=-9.3 t=7695s
  [450/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccc(C(C)=O)c... int=11 res=11 vina=-8.9 t=8091s
  [475/500] CC(C(=O)O)c1ccccc1... int=9 res=8 vina=-6.3 t=8553s
  [500/500] CC1(C)SC2C(NC(=O)Cc3ccc(CCN)cc3)C(=O)N2C... int=8 res=8 vina=-9.0 t=8942s

Results → paper/experiments/results_v3/3V8D/random_seed2/results.json
Total: 8942s (17.9s/iter)
