============================================================
  Method: bo
  Target: 4DFR
  Seed: 2
  Iterations: 500
  Output: paper/experiments/results_v3/4DFR/bo_seed2
============================================================
Target: 4DFR (DHFR, Oxidoreductase)
Pocket residues: 55
Behavior dim: 166
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=6 res=6 vina=-8.0 t=15s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=6 res=5 vina=-7.4 t=28s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=6 res=5 vina=-5.6 t=37s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=2 res=2 vina=-5.7 t=50s
  [5/500] OC(=O)c1ccccc1O... int=4 res=4 vina=-5.8 t=61s
  [25/500] COc1ccc2ccc(C(C)O)cc2c1... int=6 res=6 vina=-7.3 t=336s
  [50/500] COC(=O)c1c(O)cc(C=O)cc1O... int=5 res=5 vina=-6.1 t=647s
  [75/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=2 res=2 vina=-6.2 t=999s
  [100/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=1406s
  [125/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=1813s
  [150/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=2233s
  [175/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=2 res=2 vina=-6.2 t=2656s
  [200/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=3 res=3 vina=-6.1 t=3077s
  [225/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=3509s
  [250/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=2 res=2 vina=-6.2 t=3932s
  [275/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=3 res=3 vina=-6.1 t=4467s
  [300/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=2 res=2 vina=-6.2 t=5180s
  [325/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=2 res=2 vina=-6.2 t=5883s
  [350/500] O=C(O)CC(O)(CC(=O)O)C(=O)O... int=3 res=3 vina=-6.1 t=6559s
  [375/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=7237s
  [400/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=7825s
  [425/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=8429s
  [450/500] O=C(O)C=Cc1ccc(O)c(O)c1... int=2 res=2 vina=-6.2 t=9071s
  [475/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=9687s
  [500/500] OCC1OC(O)C(O)C(O)C1O... int=2 res=2 vina=-6.0 t=10185s

Results → paper/experiments/results_v3/4DFR/bo_seed2/results.json
Total: 10185s (20.4s/iter)
