============================================================
  Method: bo
  Target: 4MNE
  Seed: 9
  Iterations: 500
  Output: paper/experiments/results_v3/4MNE/bo_seed9
============================================================
Target: 4MNE (BRAF, Kinase)
Pocket residues: 68
Behavior dim: 205
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-7.8 t=12s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=8 res=8 vina=-7.8 t=26s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=4 res=4 vina=-6.1 t=38s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=8 res=6 vina=-6.2 t=50s
  [5/500] OC(=O)c1ccccc1O... int=8 res=6 vina=-6.2 t=65s
  [25/500] OCc1ccc(C=NO)cc1... int=3 res=3 vina=-6.1 t=390s
  [50/500] Oc1ccc(OC(F)(F)F)cc1Cl... int=1 res=1 vina=-7.0 t=737s
  [75/500] CC(C)c1cc(C=NO)cc(C(=O)O)c1... int=7 res=6 vina=-7.3 t=1077s
  [100/500] CC(N)c1cc(Cl)cc(C=NO)c1... int=7 res=6 vina=-6.6 t=1424s
  [125/500] CC(C)(O)c1cc(Cl)cc(C=NO)c1... int=9 res=7 vina=-6.7 t=1763s
  [150/500] CC(C)c1cc(Cl)cc(Cl)c1... int=6 res=6 vina=-6.1 t=2086s
  [175/500] NS(=O)(=O)c1ccc(Br)cc1[S-]... int=4 res=4 vina=-6.1 t=2403s
  [200/500] CC(=O)Nc1ccc(S(N)(=O)=O)cc1... int=6 res=6 vina=-7.3 t=2723s
  [225/500] NS(=O)(=O)c1ccc(NC=O)cc1[S-]... int=4 res=3 vina=-6.5 t=3057s
  [250/500] N=C(N)c1ccc(NC=O)cc1... int=6 res=6 vina=-6.8 t=3386s
  [275/500] Nc1ccc(S(N)(=O)=O)cc1... int=3 res=3 vina=-6.4 t=3721s
  [300/500] CC(=O)Oc1ccc(S(N)(=O)=O)cc1... int=4 res=4 vina=-6.7 t=4060s
  [325/500] COC(=O)c1ccc(S(N)(=O)=O)cc1... int=4 res=4 vina=-6.9 t=4414s
  [350/500] CC(C(=O)O)c1ccc(S(N)(=O)=O)cc1... int=6 res=6 vina=-7.6 t=4772s
  [375/500] O=CNc1ccc(C=Cc2ccccc2)cc1... int=9 res=9 vina=-8.3 t=5112s
  [400/500] Brc1ccc(-c2ccc(I)cc2)cc1... int=4 res=4 vina=-6.8 t=5448s
  [425/500] CCOC(=O)C(N)CCC(N)=O... int=12 res=10 vina=-5.8 t=5764s
  [450/500] CC(CS)C(=O)N1CCCC1C(=O)OCCO... int=8 res=7 vina=-6.1 t=6128s
  [475/500] CCOC(=O)C1CCCN1C(=O)C(C)CC(=O)O... int=6 res=6 vina=-6.9 t=6542s
  [500/500] CC(CC(N)=O)C(=O)N1CCCC1C(=O)OCCO... int=8 res=8 vina=-6.8 t=6956s

Results → paper/experiments/results_v3/4MNE/bo_seed9/results.json
Total: 6956s (13.9s/iter)
