============================================================
  Method: ga
  Target: 4MNE
  Seed: 9
  Iterations: 500
  Output: paper/experiments/results_v3/4MNE/ga_seed9
============================================================
Target: 4MNE (BRAF, Kinase)
Pocket residues: 68
Behavior dim: 205
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-7.8 t=11s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=8 res=8 vina=-7.8 t=19s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=4 res=4 vina=-6.1 t=30s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=8 res=6 vina=-6.2 t=36s
  [5/500] OC(=O)c1ccccc1O... int=8 res=6 vina=-6.2 t=44s
  [25/500] CC(C(=O)O)c1ccc(C(C)C(=O)O)cc1... int=9 res=9 vina=-7.9 t=246s
  [50/500] CC(=O)CCC(=O)c1ccc(C(C)C(=O)O)cc1... int=7 res=7 vina=-8.1 t=510s
  [75/500] CC1(C)SC2C(NC(=O)Cc3cccc(C=O)c3)C(=O)N2C... int=10 res=9 vina=-7.9 t=771s
  [100/500] CC1(C)SC2C(NC(=O)Cc3ccc(NC(N)=S)cc3)C(=O... int=8 res=8 vina=-8.0 t=991s
  [125/500] CC(C)(O)c1ccc(C(=O)Nc2ccc(Cl)cc2)cc1... int=8 res=7 vina=-8.5 t=1234s
  [150/500] CC(C(=O)O)c1ccc(OCC(=O)NC2C(=O)N3C2SC(C)... int=6 res=6 vina=-9.3 t=1499s
  [175/500] CC(O)c1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3C... int=7 res=7 vina=-8.9 t=1769s
  [200/500] CC1(C)SC2C(NC(=O)Cc3cccc(C(=O)O)c3)C(=O)... int=6 res=6 vina=-8.5 t=2019s
  [225/500] CC1(C)SC2C(NC(=O)COc3ccc(C(=N)N)cc3)C(=O... int=6 res=6 vina=-9.2 t=2250s
  [250/500] COc1cc(CCC(=O)O)cc(CC(=O)NC2C(=O)N3C2SC(... int=11 res=9 vina=-8.6 t=2479s
  [275/500] CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccc(C(C)N)cc... int=6 res=6 vina=-8.0 t=2714s
  [300/500] CC(N)c1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C3... int=9 res=9 vina=-8.7 t=2933s
  [325/500] CC(C)NCC(O)COc1ccc(CC(=O)NO)cc1... int=9 res=8 vina=-8.2 t=3158s
  [350/500] CC(=O)Oc1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C... int=8 res=6 vina=-8.4 t=3386s
  [375/500] COC(=O)c1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)... int=2 res=2 vina=-7.8 t=3601s
  [400/500] COc1ccc(C(O)c2ccc(C(C)N)cc2)cc1... int=11 res=9 vina=-8.9 t=3815s
  [425/500] CC(C)Cc1ccc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3... int=8 res=8 vina=-8.9 t=4030s
  [450/500] CC(=O)Nc1ccc(C(O)c2ccc(CC(=O)NO)cc2)cc1... int=8 res=7 vina=-9.7 t=4257s
  [475/500] CC(N)c1ccc(C(O)c2ccc(C(C)N)cc2)cc1... int=9 res=8 vina=-9.4 t=4471s
  [500/500] CC1(C)SC2C(NC(=O)Cc3ccc(C(=N)N)cc3)C(=O)... int=6 res=6 vina=-7.5 t=4688s

Results → paper/experiments/results_v3/4MNE/ga_seed9/results.json
Total: 4688s (9.4s/iter)
