============================================================
  Method: imgep_naive
  Target: 4MNE
  Seed: 7
  Iterations: 500
  Output: paper/experiments/results_v3/4MNE/imgep_naive_seed7
============================================================
Target: 4MNE (BRAF, Kinase)
Pocket residues: 68
Behavior dim: 205
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-7.8 t=16s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=8 res=8 vina=-7.8 t=31s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=4 res=4 vina=-6.1 t=49s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=8 res=6 vina=-6.2 t=69s
  [5/500] OC(=O)c1ccccc1O... int=8 res=6 vina=-6.2 t=85s
  [25/500] O=C(O)C=Cc1ccc(O)cc1... int=8 res=7 vina=-6.7 t=406s
  [50/500] NC(=S)Nc1ccc(O)c(O)c1... int=8 res=7 vina=-6.3 t=829s
  [75/500] CCOC(=O)c1cc(C=O)ccc1O... int=4 res=4 vina=-6.6 t=1272s
  [100/500] COc1cc(NC(=O)CCC(C)=O)ccc1C... int=10 res=9 vina=-7.3 t=1710s
  [125/500] COc1cc(CNC(=O)CCC(N)C(=O)O)ccc1C(=O)O... int=7 res=6 vina=-8.3 t=2151s
  [150/500] COc1cc(CNC(=O)CCc2ccc(N)cc2)ccc1O... int=10 res=9 vina=-8.7 t=2650s
  [175/500] CC(CS)C(=O)N1CCCC1C(=O)O... int=4 res=4 vina=-5.7 t=3207s
  [200/500] CCOC(=O)c1cc(CCN)cc(CC(=O)NC2C(=O)N3C2SC... int=14 res=13 vina=-9.2 t=3794s
  [225/500] CC1(C)SC2C(NC(=O)Cc3cc(CCN)cc(CC(N)=O)c3... int=13 res=12 vina=-9.1 t=4391s
  [250/500] CCOC(=O)c1cc(CCNC)cc(CC(=O)NC2C(=O)N3C2S... int=14 res=11 vina=-8.6 t=4987s
  [275/500] CC1(C)SC2C(NC(=O)Cc3cc(CCN)cc(CC(=O)NO)c... int=13 res=11 vina=-9.2 t=5619s
  [300/500] CCOC(=O)c1cc(CC(N)=O)cc(CC(=O)NC2C(=O)N3... int=10 res=10 vina=-8.2 t=6243s
  [325/500] CCOC(=O)c1cc(CCN)cc(CC(=O)NC2C(=O)N3C2SC... int=15 res=14 vina=-8.7 t=6844s
  [350/500] CCOC(=O)c1cc(CC(=O)NC2C(=O)N3C2SC(C)(C)C... int=10 res=10 vina=-8.6 t=7482s
  [375/500] CC(N)Cc1cc(CCN)cc(CC(=O)NC2C(=O)N3C2SC(C... int=13 res=10 vina=-9.0 t=8126s
  [400/500] CC(N)Cc1cc(CC(=O)NO)cc(CC(=O)NC2C(=O)N3C... int=12 res=10 vina=-9.1 t=8762s
  [425/500] CC(N)Cc1cc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3C... int=13 res=11 vina=-9.4 t=9323s
  [450/500] CC(N)Cc1cc(CCCO)cc(CC(=O)NC2C(=O)N3C2SC(... int=12 res=11 vina=-8.5 t=9918s
  [475/500] CC(N)Cc1cc(CC(=O)NC2C(=O)N3C2SC(C)(C)C3C... int=12 res=11 vina=-9.7 t=10511s
  [500/500] CC1(C)SC2C(NC(=O)Cc3cc(CCCO)cc(C(=O)NCCO... int=10 res=9 vina=-9.1 t=11091s

Results → paper/experiments/results_v3/4MNE/imgep_naive_seed7/results.json
Total: 11091s (22.2s/iter)
