============================================================
  Method: random
  Target: 4MNE
  Seed: 8
  Iterations: 500
  Output: paper/experiments/results_v3/4MNE/random_seed8
============================================================
Target: 4MNE (BRAF, Kinase)
Pocket residues: 68
Behavior dim: 205
  [1/500] CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O... int=5 res=5 vina=-7.8 t=19s
  [2/500] CC(C)Cc1ccc(C(C)C(=O)O)cc1... int=8 res=8 vina=-7.8 t=37s
  [3/500] CC(=O)Oc1ccccc1C(=O)O... int=4 res=4 vina=-6.1 t=55s
  [4/500] CC(=O)Nc1ccc(O)cc1... int=8 res=6 vina=-6.2 t=68s
  [5/500] OC(=O)c1ccccc1O... int=8 res=6 vina=-6.2 t=83s
  [25/500] CC(=O)Oc1cc(C=O)ccc1C(=O)O... int=11 res=8 vina=-6.6 t=415s
  [50/500] CC(C)(O)c1ccccc1... int=8 res=7 vina=-6.5 t=837s
  [75/500] CC1(C)SC2C(NC(=O)Cc3ccc(C(=N)N)cc3)C(=O)... int=6 res=6 vina=-7.5 t=1280s
  [100/500] CCCC(=O)Oc1cc(Cl)ccc1C(=O)OC... int=7 res=6 vina=-6.3 t=1717s
  [125/500] CC(C)c1ccc(O)c(O)c1... int=7 res=6 vina=-6.8 t=2172s
  [150/500] CC1(C)SC2C(NC(=O)COc3ccc(NC(=O)c4ccccc4)... int=10 res=9 vina=-9.7 t=2653s
  [175/500] CC(=O)c1ccc(C2N=C(C)NC2=O)cc1... int=3 res=3 vina=-8.0 t=3135s
  [200/500] CC(=O)Oc1ccc(NC=O)cc1... int=2 res=2 vina=-6.5 t=3574s
  [225/500] CC1=NC(c2ccc(CC(C)C)cc2)C(=O)N1... int=7 res=7 vina=-8.6 t=4013s
  [250/500] CCOC(=O)c1ccc(N)cc1N... int=8 res=7 vina=-6.3 t=4484s
  [275/500] O=C(O)CNC(=O)c1ccc(O)cc1... int=6 res=6 vina=-6.9 t=4979s
  [300/500] CC(C)Cc1ccc(O)c(O)c1... int=10 res=9 vina=-6.8 t=5435s
  [325/500] CC(CC(=O)O)C(=O)O... int=4 res=3 vina=-5.3 t=5923s
  [350/500] CC1(C)SC2C(NC(=O)Cc3ccc(NC(N)=S)cc3)C(=O... int=8 res=8 vina=-8.0 t=6486s
  [375/500] CC(=O)Oc1cc(CCN)ccc1C(=O)O... int=10 res=8 vina=-6.7 t=7046s
  [400/500] CC1(C)SC2C(NC(=O)Cc3ccc(S(N)(=O)=O)cc3)C... int=6 res=6 vina=-8.0 t=7636s
  [425/500] COC(=O)c1ccc(NC(C)=O)cc1... int=4 res=4 vina=-6.7 t=8147s
  [450/500] CC(=O)CCC(=O)Oc1cc(Cl)ccc1C(=O)O... int=8 res=6 vina=-7.5 t=8651s
  [475/500] Cn1c(=O)c2c(ncn2C)n(C)c1=O... int=1 res=1 vina=-5.8 t=9159s
  [500/500] CC(=O)Oc1ccc(C(C)(C)O)cc1... int=7 res=7 vina=-7.0 t=9651s

Results → paper/experiments/results_v3/4MNE/random_seed8/results.json
Total: 9651s (19.3s/iter)
